store,product,url,priority
Target,Phantasmal Flames ETB,https://www.target.com/p/pok-233-mon-trading-card-game-mega-evolution-8212-phantasmal-flames-elite-trainer-box/-/A-94860231,HIGH
Target,Phantasmal Flames Booster Bundle,https://www.target.com/p/pok-233-mon-trading-card-game-mega-evolution-8212-phantasmal-flames-booster-bundle/-/A-94884496,HIGH
Target,Chaos Rising Elite Trainer Box,https://www.target.com/p/-/A-95267143,HIGH
Target,Chaos Rising Booster Bundle,https://www.target.com/p/-/A-95298172,HIGH
Target,Ascended Heroes Booster Bundle,https://www.target.com/p/-/A-95120834,HIGH
Target,Ascended Heroes Elite Trainer Box,https://www.target.com/p/-/A-95082118,HIGH
Target,Ascended Heroes Mega Lucario Premium Collection,https://www.target.com/p/-/A-1010583462,MEDIUM
Target,Ascended Heroes Mega Gardevoir Premium Collection,https://www.target.com/p/-/A-1010583463,MEDIUM
Target,Ascended Heroes Mega Emboar EX Box,https://www.target.com/p/-/A-1011165569,MEDIUM
Target,Ascended Heroes Mega Feraligatr EX Box,https://www.target.com/p/-/A-1011207043,MEDIUM
Target,Ascended Heroes Mega Meganium EX Box,https://www.target.com/p/-/A-1011165557,MEDIUM
Target,Ascended Heroes Mini Tin (Togepi/Totodile),https://www.target.com/p/-/A-1009818851,LOW
Target,Ascended Heroes Mini Tin (Clefairy/Chikorita),https://www.target.com/p/-/A-1010422938,LOW
Target,Ascended Heroes Mini Tin (Riolu/Darumaka),https://www.target.com/p/-/A-1009818850,LOW
Target,Destined Rivals Booster Bundle,https://www.target.com/p/-/A-94300067,HIGH
Target,Destined Rivals Elite Trainer Box,https://www.target.com/p/-/A-94300069,HIGH
Target,Destined Rivals Sleeved Booster Pack,https://www.target.com/p/-/A-1004021929,LOW
Target,First Partner Illustration Collection Series 1,https://www.target.com/p/pok-233-mon-trading-card-game-first-partner-illustration-collection-series-1/-/A-95225595,HIGH
